"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2016-08-21","1471737600","322"
"2016-08-22","1471824000","196"
"2016-08-23","1471910400","628"
"2016-08-24","1471996800","180"
"2016-08-25","1472083200","166"
"2016-08-26","1472169600","91"
"2016-08-27","1472256000","80"
"2016-08-28","1472342400","49"
"2016-08-29","1472428800","102"
"2016-08-30","1472515200","148"
"2016-08-31","1472601600","191"
"2016-09-01","1472688000","372"
"2016-09-02","1472774400","259"
"2016-09-03","1472860800","127"
"2016-09-04","1472947200","262"
"2016-09-05","1473033600","317"
"2016-09-06","1473120000","276"
"2016-09-07","1473206400","189"
"2016-09-08","1473292800","170"
"2016-09-09","1473379200","455"
"2016-09-10","1473465600","311"
"2016-09-11","1473552000","88"
"2016-09-12","1473638400","884"
"2016-09-13","1473724800","134"
"2016-09-14","1473811200","250"
"2016-09-15","1473897600","191"
"2016-09-16","1473984000","250"
"2016-09-17","1474070400","86"
"2016-09-18","1474156800","186"
"2016-09-19","1474243200","55"
"2016-09-20","1474329600","166"
"2016-09-21","1474416000","294"
"2016-09-22","1474502400","112"
"2016-09-23","1474588800","36"
"2016-09-24","1474675200","150"
"2016-09-25","1474761600","116"
"2016-09-26","1474848000","90"
"2016-09-27","1474934400","124"
"2016-09-28","1475020800","155"
"2016-09-29","1475107200","512"
"2016-09-30","1475193600","295"
"2016-10-01","1475280000","79"
"2016-10-02","1475366400","225"
"2016-10-03","1475452800","657"
"2016-10-04","1475539200","22601"
"2016-10-05","1475625600","876"
"2016-10-06","1475712000","949"
"2016-10-07","1475798400","220"
"2016-10-08","1475884800","604"
"2016-10-09","1475971200","723"
"2016-10-10","1476057600","1234"
"2016-10-11","1476144000","4112"
"2016-10-12","1476230400","6954"
"2016-10-13","1476316800","14793"
"2016-10-14","1476403200","11053"
"2016-10-15","1476489600","2226"
"2016-10-16","1476576000","3653"
"2016-10-17","1476662400","3359"
"2016-10-18","1476748800","3168"
"2016-10-19","1476835200","284"
"2016-10-20","1476921600","112"
"2016-10-21","1477008000","47"
"2016-10-22","1477094400","265"
"2016-10-23","1477180800","57"
"2016-10-24","1477267200","125"
"2016-10-25","1477353600","1069"
"2016-10-26","1477440000","368"
"2016-10-27","1477526400","209"
"2016-10-28","1477612800","451"
"2016-10-29","1477699200","74"
"2016-10-30","1477785600","195"
"2016-10-31","1477872000","154"
"2016-11-01","1477958400","528"
"2016-11-02","1478044800","94"
"2016-11-03","1478131200","80"
"2016-11-04","1478217600","68"
"2016-11-05","1478304000","91"
"2016-11-06","1478390400","94"
"2016-11-07","1478476800","75"
"2016-11-08","1478563200","154"
"2016-11-09","1478649600","180"
"2016-11-10","1478736000","454"
"2016-11-11","1478822400","154"
"2016-11-12","1478908800","107"
"2016-11-13","1478995200","164"
"2016-11-14","1479081600","315"
"2016-11-15","1479168000","200"
"2016-11-16","1479254400","300"
"2016-11-17","1479340800","116"
"2016-11-18","1479427200","229"
"2016-11-19","1479513600","78"
"2016-11-20","1479600000","234"
"2016-11-21","1479686400","578"
"2016-11-22","1479772800","120"
"2016-11-23","1479859200","114"
"2016-11-24","1479945600","531"
"2016-11-25","1480032000","6890"
"2016-11-26","1480118400","1555"
"2016-11-27","1480204800","1086"
"2016-11-28","1480291200","116"
"2016-11-29","1480377600","153"
"2016-11-30","1480464000","137"
"2016-12-01","1480550400","162"
"2016-12-02","1480636800","684"
"2016-12-03","1480723200","2356"
"2016-12-04","1480809600","2550"
"2016-12-05","1480896000","3088"
"2016-12-06","1480982400","428"
"2016-12-07","1481068800","224"
"2016-12-08","1481155200","161"
"2016-12-09","1481241600","293"
